preference_key,movie_title,star_cast,rating,year,place,vote,link
2,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.217601502775967,1948,121,,/title/tt0040522/
3,Indiana Jones y la última cruzada,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.218451903672655,1989,120,,/title/tt0097576/
4,La mujer que cantaba,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.219495122112505,2010,119,,/title/tt1255953/
1,Duro de matar,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.220294232687577,1988,118,,/title/tt0095016/
2,Snatch: Cerdos y diamantes,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.220524281305769,2000,117,,/title/tt0208092/
3,Una separación,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.220535188115596,2011,116,,/title/tt1832382/
4,Metrópolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.220951207790415,1927,115,,/title/tt0017136/
1,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.221579932544673,2020,114,,/title/tt8503618/
2,Fuego contra fuego,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.223177187469647,1995,113,,/title/tt0113277/
3,"Up, una aventura de altura","Pete Docter (dir.), Edward Asner, Jordan Nagai",8.224321116099066,2009,112,,/title/tt1049413/
4,Los Ángeles al desnudo,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.224965437225631,1997,111,,/title/tt0119488/
1,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.228143941832746,1976,110,,/title/tt0075314/
2,Matar a un ruiseñor,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.228947169275596,1962,109,,/title/tt0056592/
3,El golpe,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.22908489309981,1973,108,,/title/tt0070735/
4,Ikiru - Vivir,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.230437635777383,1952,107,,/title/tt0044741/
1,Caracortada,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.235143166861258,1983,106,,/title/tt0086250/
2,Piso de soltero,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.237069525800528,1960,105,,/title/tt0053604/
3,Pacto de sangre,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.238007151798135,1944,104,,/title/tt0036775/
4,Cara de guerra,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.240231023685483,1987,103,,/title/tt0093058/
1,Ven y mira,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.243382818515352,1985,102,,/title/tt0091251/
2,Naranja mecánica,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.244768583458615,1971,101,,/title/tt0066921/
3,Amelie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.246324902880373,2001,100,,/title/tt0211915/
4,e entre los muertos,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.248057795453525,1958,99 ,,/title/tt0052357/
1,ntriga internacional,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.253825507117924,1959,98 ,,/title/tt0053125/
2, el maldito,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.253844710350098,1931,97 ,,/title/tt0022100/
3,agten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.254967388229415,2012,96 ,,/title/tt2106476/
4,awrence de Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.256461518786677,1962,95 ,,/title/tt0056172/
1,l ciudadano Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.257930354965346,1941,94 ,,/title/tt0033467/
2,afarnaúm: la ciudad olvidada,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.258746977028377,2018,93 ,,/title/tt8267604/
3,ielo e infierno,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.262928839968819,1963,92 ,,/title/tt0057565/
4,erros de reserva,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.264631550268401,1992,91 ,,/title/tt0105236/
1,terno resplandor de una mente sin recuerdos,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.264687703869287,2004,90 ,,/title/tt0338013/
2,001: odisea del espacio,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.265448779280122,1968,89 ,,/title/tt0062622/
3,l regreso del Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.2681349024327,1983,88 ,,/title/tt0086190/
4, Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.26874796238265,2009,87 ,,/title/tt1187043/
1,antando bajo la lluvia,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.273797224892775,1952,86 ,,/title/tt0045152/
2,our Name,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.274291293141653,2016,85 ,,/title/tt5311514/
3,oy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.276593361912493,2010,84 ,,/title/tt0435761/
4,équiem por un sueño,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.276909416583415,2000,83 ,,/title/tt0180093/
1,ente indomable,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.286554105848841,1997,82 ,,/title/tt0119217/
2,rase una vez en América,"Sergio Leone (dir.), Robert De Niro, James Woods",8.300754662994454,1984,81 ,,/title/tt0087843/
3,vengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.300993813912072,2019,80 ,,/title/tt4154796/
4,a princesa Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.303767054145275,1997,79 ,,/title/tt0119698/
1,astardos sin gloria,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.310832777290777,2009,78 ,,/title/tt0361748/
2,l submarino,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.311823203207608,1981,77 ,,/title/tt0082096/
3,oco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.312244454488654,2017,76 ,,/title/tt2380307/
4,oy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.314516871304026,1995,75 ,,/title/tt0114709/
1,madeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.315372837552797,1984,74 ,,/title/tt0086879/
2,orazón valiente,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.315519416208357,1995,73 ,,/title/tt0112573/
3,ldboy: Cinco días para vengarse,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.319824254309777,2003,72 ,,/title/tt0364569/
4,uasón,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.319879655590816,2019,71 ,,/title/tt7286456/
1,pider-Man: Un nuevo universo,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.328420694547233,2018,70 ,,/title/tt4633694/
2,atman: El caballero de la noche asciende,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.328682155368877,2012,69 ,,/title/tt1345836/
3,r Insólito o Cómo aprendí a no preocuparme y amar la bomba,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.333785426536178,1964,68 ,,/title/tt0057012/
4,elleza americana,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.337993138633317,1999,67 ,,/title/tt0169547/
1,"lien 2, el regreso","James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.34474206899229,1986,66 ,,/title/tt0090605/
2,vengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.355545690492894,2018,65 ,,/title/tt4154756/
3,estigo de cargo,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.356639395985665,1957,64 ,,/title/tt0051201/
4,l gran dictador,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.366248510400489,1940,63 ,,/title/tt0032553/
1,l resplandor,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.367866364518594,1980,62 ,,/title/tt0081505/
2,a patrulla infernal,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.370720111775663,1957,61 ,,/title/tt0050825/
3,l ocaso de una vida,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.382506128547995,1950,60 ,,/title/tt0043014/
4,a vida de los otros,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.386321889913663,2006,59 ,,/title/tt0405094/
1,ALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.392598813226096,2008,58 ,,/title/tt0910970/
2,jango sin cadenas,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.402691790959107,2012,57 ,,/title/tt1853728/
3,os cazadores del arca perdida,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.411813280230918,1981,56 ,,/title/tt0082971/
4,pocalipsis,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.425170482905568,1979,55 ,,/title/tt0078788/
1,mnesia,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.425984780049655,2000,54 ,,/title/tt0209144/
2,inema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.429183241242717,1988,53 ,,/title/tt0095765/
3,uces de la ciudad,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.434248327375784,1931,52 ,,/title/tt0021749/
4,"lien, el 8° pasajero","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.435352653346852,1979,51 ,,/title/tt0078748/
1,a ventana indiscreta,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.437335410976956,1954,50 ,,/title/tt0047396/
2,a tumba de las luciérnagas,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.447637549648322,1988,49 ,,/title/tt0095327/
3,rase una vez en el oeste,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.44782569996895,1968,48 ,,/title/tt0064116/
4,arakiri,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.448336512720873,1962,47 ,,/title/tt0056058/
1,iempos modernos,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.449753646242975,1936,46 ,,/title/tt0027977/
2,migos intocables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.453806312269144,2011,45 ,,/title/tt1675434/
3,hiplash: Música y obsesión,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.460261971197518,2014,44 ,,/title/tt2582802/
